,playerId,recYards,combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFirst,nameLast,nameFull,position,collegeId,nflId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic,draft
37,19960001,2889,13187,1996,WR,75.3,220,10.88,Keyshawn,Johnson,Keyshawn Johnson,WR,90089.0,2501435,USC,76.0,211.0,1972-07-22,23.76164383561644,http://www.nfl.com/player/KeyshawnJohnson/2501435/profile,Los Angeles,CA,USA,Susan Miller Dorsey HS,,CA,USA,33.5,,31.5,,4.25,125.0,,11.65,,1996
38,19960007,3073,13137,1996,WR,70.5,184,10.38,Terry,Glenn,Terry Glenn,WR,43210.0,2500816,Ohio State,71.0,196.0,1974-07-23,21.75890410958904,http://www.nfl.com/player/TerryGlenn/2500816/profile,Columbus,OH,USA,Brookhaven HS,Columbus,OH,USA,32.5,,,,,,,,,1996
41,19960018,3360,13198,1996,WR,71.4,191,9.5,Eddie,Kennison,Eddie Kennison,WR,70803.0,2501598,Louisiana State,73.0,201.0,1973-01-20,23.263013698630136,http://www.nfl.com/player/EddieKennison/2501598/profile,Lake Charles,LA,USA,,,,,31.0,4.5,34.5,,4.23,120.0,,11.46,,1996
42,19960019,4565,13157,1996,WR,71.9,181,9.75,Marvin,Harrison,Marvin Harrison,WR,13244.0,2501062,Syracuse,72.0,185.0,1972-08-25,23.66849315068493,http://www.nfl.com/player/MarvinHarrison/2501062/profile,Philadelphia,PA,USA,,,,,30.75,,,,,,,,,1996
43,19960024,3037,13242,1996,WR,72.9,204,9.25,Eric,Moulds,Eric Moulds,WR,39762.0,2502226,Mississippi State,74.0,225.0,1973-07-17,22.775342465753425,http://www.nfl.com/player/EricMoulds/2502226/profile,Lucedale,MS,USA,,,,,32.0,,,,,,,,,1996
44,19960034,3095,13317,1996,WR,74.9,197,9.0,Amani,Toomer,Amani Toomer,WR,48109.0,2503377,Michigan,75.0,203.0,1974-09-08,21.63013698630137,http://www.nfl.com/player/AmaniToomer/2503377/profile,Berkeley,CA,USA,De La Salle HS,Concord,CA,USA,32.5,4.5,40.0,,4.14,132.0,,11.14,,1996
46,19960043,4073,13243,1996,WR,73.8,217,10.38,Muhsin,Muhammad,Muhsin Muhammad,WR,48824.0,2502231,Michigan State,74.0,215.0,1973-05-05,22.975342465753425,http://www.nfl.com/player/MuhsinMuhammad/2502231/profile,Lansing,MI,USA,,,,,33.38,4.53,33.0,,4.16,120.0,,11.31,,1996
47,19960052,3635,13127,1996,WR,69.6,187,9.13,Bobby,Engram,Bobby Engram,WR,16802.0,2500556,Penn State,70.0,192.0,1973-01-07,23.2986301369863,http://www.nfl.com/player/BobbyEngram/2500556/profile,Camden,SC,USA,,,,,30.25,,,,,,,,,1996
52,19960089,8531,13258,1996,WR,74.9,213,10.5,Terrell,Owens,Terrell Owens,WR,37403.0,2502377,Chattanooga State,75.0,224.0,1973-12-07,22.383561643835616,http://www.nfl.com/player/TerrellOwens/2502377/profile,Alexander City,AL,USA,,,,,34.5,4.65,33.0,,4.26,120.0,,11.43,,1996
54,19960153,24,13209,1996,WR,67.4,172,9.0,Jermaine,Lewis,Jermaine Lewis,WR,20740.0,2501746,Maryland,67.0,183.0,1974-10-16,21.526027397260275,http://www.nfl.com/player/JermaineLewis/2501746/profile,Lanham,MD,USA,,,,,31.38,4.47,33.5,,4.3,124.0,,11.08,,1996
55,19960185,67,13120,1996,WR,75.5,191,10.0,Chris,Doering,Chris Doering,WR,32611.0,2500421,Florida,76.0,201.0,1973-05-19,22.936986301369863,http://www.nfl.com/player/ChrisDoering/2500421/profile,Gainesville,FL,USA,P.K. Yonge Developmental Research School,,FL,USA,31.75,4.87,30.5,,4.52,118.0,,11.94,,1996
57,19970007,1985,13467,1997,WR,71.9,189,9.5,Ike,Hilliard,Ike Hilliard,WR,32611.0,2501173,Florida,71.0,210.0,1976-04-05,21.052054794520547,http://www.nfl.com/player/IkeHilliard/2501173/profile,Patterson,LA,USA,Patterson HS,,LA,USA,32.63,,,,,,,,,1997
68,19970088,77,13640,1997,WR,68.6,175,8.88,Dedric,Ward,Dedric Ward,WR,50701.0,2503531,Northern Iowa,69.0,189.0,1974-09-29,22.56986301369863,http://www.nfl.com/player/DedricWard/2503531/profile,Cedar Rapids,IA,USA,,,,,30.0,4.56,31.0,,4.14,109.0,7.1,11.17,,1997
70,19970098,7086,13524,1997,WR,70.8,193,10.0,Derrick,Mason,Derrick Mason,WR,48824.0,2501898,Michigan State,70.0,197.0,1974-01-17,23.26849315068493,http://www.nfl.com/player/DerrickMason/2501898/profile,Detroit,MI,USA,,,,,32.25,4.55,32.0,,4.46,113.0,7.33,11.65,,1997
71,19970108,1907,13579,1997,WR,75.4,213,10.25,Marcus,Robinson,Marcus Robinson,WR,29208.0,2502705,South Carolina,75.0,215.0,1975-02-27,22.156164383561645,http://www.nfl.com/player/MarcusRobinson/2502705/profile,Fort Valley,GA,USA,,,,,34.13,4.55,37.0,,,120.0,,,,1997
75,19970183,0,13620,1997,WR,70.4,187,9.25,Robert,Tate,Robert Tate,,45221.0,2503244,Cincinnati,71.0,194.0,1973-10-19,23.51506849315069,http://www.nfl.com/player/RobertTate/2503244/profile,Crowley,LA,USA,,,,,31.0,4.54,30.0,,4.3,108.0,7.36,11.75,,1997
79,19980016,106,13747,1998,WR,73.1,199,10.13,Kevin,Dyson,Kevin Dyson,WR,84112.0,2500499,Utah,73.0,208.0,1975-06-23,22.83561643835617,http://www.nfl.com/player/KevinDyson/2500499/profile,Logan,UT,USA,,,,,34.25,,,,,,,,,1998
80,19980021,6333,13847,1998,WR,75.6,194,9.63,Randy,Moss,Randy Moss,WR,25755.0,2502220,Marshall,76.0,210.0,1977-02-13,21.18904109589041,http://www.nfl.com/player/RandyMoss/2502220/profile,Rand,WV,USA,Riverside HS,,WV,USA,34.0,4.38,33.0,,4.17,117.0,7.19,11.87,17.0,1998
81,19980032,841,13865,1998,WR,72.0,187,9.88,Jerome,Pathon,Jerome Pathon,WR,98195.0,2502417,Washington,72.0,195.0,1975-12-16,22.353424657534248,http://www.nfl.com/player/JeromePathon/2502417/profile,Capetown,,South Africa,,,,,30.88,,,,,,,,,1998
84,19980042,216,13803,1998,WR,70.1,181,9.13,Pat,Johnson,Pat Johnson,WR,97403.0,2501447,Oregon,70.0,196.0,1976-08-10,21.7013698630137,http://www.nfl.com/player/PatJohnson/2501447/profile,Gainesville,GA,USA,Redlands HS,,CA,USA,32.25,4.42,34.5,,,127.0,,,,1998
86,19980055,2386,13807,1998,WR,76.9,231,9.5,Joe,Jurevicius,Joe Jurevicius,WR,16802.0,2501548,Penn State,77.0,230.0,1974-12-23,23.334246575342465,http://www.nfl.com/player/JoeJurevicius/2501548/profile,Cleveland,OH,USA,,,,,33.0,4.66,31.5,,4.48,118.0,7.49,11.76,,1998
87,19980059,65,13883,1998,WR,77.1,237,10.5,Mikhael,Ricks,Mikhael Ricks,WR,75962.0,2502660,Stephen F. Austin (TX),77.0,260.0,1974-11-14,23.44109589041096,http://www.nfl.com/player/MikhaelRicks/2502660/profile,Galveston,TX,USA,,,,,35.13,4.57,36.0,,4.03,127.0,7.28,11.56,,1998
90,19980092,7250,13944,1998,WR,71.6,195,9.0,Hines,Ward,Hines Ward,WR,30602.0,2503532,Georgia,72.0,205.0,1976-03-08,22.126027397260277,http://www.nfl.com/player/HinesWard/2503532/profile,Seoul,,South Korea,,,,,30.5,,30.5,,4.09,110.0,7.09,11.02,,1998
92,19980096,1212,13778,1998,WR,69.6,179,9.25,Az-Zahir,Hakim,Az-Zahir Hakim,WR,92115.0,2500959,San Diego State,70.0,190.0,1977-06-03,20.887671232876716,http://www.nfl.com/player/Az-ZahirHakim/2500959/profile,Los Angeles,CA,USA,,,,,30.5,4.45,36.0,,4.25,122.0,7.44,11.73,,1998
94,19980106,0,13786,1998,WR,76.6,208,9.25,Donald,Hayes,Donald Hayes,WR,53706.0,2501096,Wisconsin,76.0,220.0,1975-07-13,22.78082191780822,http://www.nfl.com/player/DonaldHayes/2501096/profile,Madison,WI,USA,,,,,34.25,4.57,36.0,,4.07,123.0,7.38,11.42,,1998
95,19980150,1194,13696,1998,WR,72.6,197,9.38,Corey,Bradford,Corey Bradford,WR,39217.0,2499745,Jackson State (MS),73.0,201.0,1975-12-08,22.375342465753423,http://www.nfl.com/player/CoreyBradford/2499745/profile,Baton Rouge,LA,USA,,,,,35.25,4.47,34.5,,4.36,126.0,8.07,11.9,,1998
98,19980192,1062,13954,1998,WR,71.5,184,10.0,Alvis,Whitted,Alvis Whitted,WR,27607.0,2503634,NC State,72.0,185.0,1974-09-04,23.635616438356163,http://www.nfl.com/player/AlvisWhitted/2503634/profile,Durham,NC,USA,,,,,33.63,4.5,34.5,,4.11,128.0,7.32,11.14,,1998
102,19990006,5610,14110,1999,WR,72.3,192,,Torry,Holt,Torry Holt,WR,27607.0,2501229,NC State,72.0,200.0,1976-06-05,22.87945205479452,http://www.nfl.com/player/TorryHolt/2501229/profile,Greensboro,NC,USA,Hargrave Military Academy,Chatham,VA,USA,,4.44,37.0,,,118.0,,,,1999
104,19990008,290,13987,1999,WR,73.3,215,,David,Boston,David Boston,WR,43210.0,2499719,Ohio State,74.0,228.0,1978-08-19,20.673972602739727,http://www.nfl.com/player/DavidBoston/2499719/profile,Humble,TX,USA,,,,,,4.47,37.0,,4.09,116.0,7.2,,,1999
105,19990013,653,14058,1999,WR,69.5,191,,Troy,Edwards,Troy Edwards,WR,71272.0,2500520,Louisiana Tech,70.0,195.0,1977-04-07,22.04109589041096,http://www.nfl.com/player/TroyEdwards/2500520/profile,Shreveport,LA,USA,,,,,,4.57,36.5,,4.16,117.0,7.37,,,1999
107,19990032,669,14136,1999,WR,71.1,194,,Kevin,Johnson,Kevin Johnson,WR,13244.0,2501434,Syracuse,71.0,195.0,1976-07-15,22.76986301369863,http://www.nfl.com/player/KevinJohnson/2501434/profile,Trenton,NJ,USA,,,,,,4.41,36.5,,3.86,115.0,6.79,,,1999
112,19990053,1494,14239,1999,WR,70.9,180,,Peerless,Price,Peerless Price,WR,37998.0,2502543,Tennessee,71.0,194.0,1976-10-27,22.484931506849318,http://www.nfl.com/player/PeerlessPrice/2502543/profile,Dayton,OH,USA,,,,,,4.55,35.0,,4.09,116.0,7.28,,,1999
115,19990071,0,13981,1999,WR,73.6,215,,D'Wayne,Bates,D'Wayne Bates,WR,60208.0,2499569,Northwestern,74.0,215.0,1975-12-04,23.383561643835616,http://www.nfl.com/player/D'WayneBates/2499569/profile,Augusta,GA,USA,,,,,,4.59,37.0,,4.24,117.0,7.25,,,1999
120,19990105,4118,14290,1999,WR,73.0,197,,Brandon,Stokley,Brandon Stokley,WR,70504.0,2503158,Louisiana Lafayette,72.0,194.0,1976-06-23,22.83013698630137,http://www.nfl.com/player/BrandonStokley/2503158/profile,Blacksburg,VA,USA,Comeaux HS,Lafayette,LA,USA,,4.49,35.5,,4.01,118.0,7.04,,,1999
125,19990164,153,13975,1999,WR,72.5,167,,Eugene,Baker,Eugene Baker,WR,44242.0,2499499,Kent State (OH),74.0,183.0,1976-03-18,23.095890410958905,http://www.nfl.com/player/EugeneBaker/2499499/profile,Monroeville,PA,USA,,,,,,4.46,36.5,,4.03,118.0,6.9,,,1999
126,19990171,267,14291,1999,WR,73.4,194,,Tai,Streets,Tai Streets,WR,48109.0,2503175,Michigan,75.0,207.0,1977-04-20,22.005479452054796,http://www.nfl.com/player/TaiStreets/2503175/profile,Matteson,IL,USA,Thornton Township HS,,IL,USA,,4.44,37.0,,,118.0,,,,1999
130,19990218,792,14196,1999,WR,74.6,215,,Billy,Miller,Billy Miller,TE,90089.0,2502096,USC,75.0,252.0,1977-04-24,21.994520547945207,http://www.nfl.com/player/BillyMiller/2502096/profile,Los Angeles,CA,USA,,,,,,4.67,34.5,,4.28,113.0,7.06,,,1999
134,20000008,4525,14373,2000,WR,77.4,231,,Plaxico,Burress,Plaxico Burress,WR,48824.0,2504253,Michigan State,77.0,232.0,1977-08-12,22.69041095890411,http://www.nfl.com/player/PlaxicoBurress/2504253/profile,Norfolk,VA,USA,Fork Union Military Academy,,VA,USA,,4.59,33.0,,,115.0,,,,2000
135,20000010,1994,14571,2000,WR,72.9,199,,Travis,Taylor,Travis Taylor,WR,32611.0,2504321,Florida,73.0,210.0,1979-03-30,21.06027397260274,http://www.nfl.com/player/TravisTaylor/2504321/profile,Fernandina Beach,FL,USA,Jean Ribault HS,,FL,USA,,4.43,37.0,,,118.0,7.15,,,2000
137,20000032,2414,14522,2000,WR,70.4,175,,Dennis,Northcutt,Dennis Northcutt,WR,85721.0,2504261,Arizona,71.0,172.0,1977-12-22,22.328767123287676,http://www.nfl.com/player/DennisNorthcutt/2504261/profile,Los Angeles,CA,USA,Dorsey HS,,CA,USA,,4.46,37.5,,4.04,123.0,6.96,,,2000
139,20000069,503,14592,2000,WR,73.3,218,,Dez,White,Dez White,WR,30332.0,2504271,Georgia Tech,73.0,215.0,1979-08-23,20.660273972602734,http://www.nfl.com/player/DezWhite/2504271/profile,Orange Park,FL,USA,,,,,,4.62,37.5,,4.09,124.0,6.91,,,2000
141,20000078,3904,14392,2000,WR,71.3,192,,Laveranues,Coles,Laveranues Coles,WR,32306.0,2503902,Florida State,71.0,200.0,1977-12-29,22.30958904109589,http://www.nfl.com/player/LaveranuesColes/2503902/profile,Jacksonville,FL,USA,Jean Ribault HS,,FL,USA,,4.48,34.0,,4.39,115.0,6.89,,,2000
142,20000079,43,14403,2000,WR,73.0,199,,JaJuan,Dawson,JaJuan Dawson,WR,70118.0,2504103,Tulane,73.0,197.0,1977-11-05,22.457534246575342,http://www.nfl.com/player/JaJuanDawson/2504103/profile,Houston,TX,USA,,,,,,4.55,34.0,,4.16,117.0,6.96,,,2000
143,20000080,3793,14458,2000,WR,71.8,197,,Darrell,Jackson,Darrell Jackson,WR,32611.0,2504274,Florida,71.0,210.0,1978-12-06,21.372602739726027,http://www.nfl.com/player/DarrellJackson/2504274/profile,Dayton,OH,USA,Tampa Catholic HS,,FL,USA,,4.58,,,,,,,,2000
148,20000099,84,14548,2000,WR,72.3,194,,Gari,Scott,Gari Scott,WR,48824.0,2504110,Michigan State,72.0,191.0,1978-06-02,21.88493150684932,http://www.nfl.com/player/GariScott/2504110/profile,West Palm Beach,FL,USA,,,,,,4.6,33.5,,,119.0,,,,2000
150,20000111,72,14426,2000,WR,75.3,199,,Trevor,Gaylor,Trevor Gaylor,WR,45056.0,2504281,Miami (OH),75.0,195.0,1977-11-03,22.46301369863014,http://www.nfl.com/player/TrevorGaylor/2504281/profile,St. Louis,MO,USA,,,,,,4.59,37.5,,4.29,121.0,7.03,,,2000
155,20000165,847,14584,2000,WR,66.5,171,,Troy,Walters,Troy Walters,WR,94305.0,2504176,Stanford,68.0,171.0,1976-12-15,23.34794520547945,http://www.nfl.com/player/TroyWalters/2504176/profile,Bloomington,IN,USA,A&M Consolidated HS,,TX,USA,,4.55,32.5,,3.84,106.0,6.61,,,2000
160,20000242,522,14489,2000,WR,73.5,202,,Charles,Lee,Charles Lee,WR,32816.0,2504146,Central Florida,75.0,227.0,1977-11-19,22.41917808219178,http://www.nfl.com/player/CharlesLee/2504146/profile,Miami,FL,USA,,,,,,4.6,35.5,,4.25,125.0,7.3,,,2000
163,20010008,772,14831,2001,WR,75.1,213,,David,Terrell,David Terrell,WR,48109.0,2504761,Michigan,75.0,212.0,1979-03-13,22.12328767123288,http://www.nfl.com/player/DavidTerrell/2504761/profile,Richmond,VA,USA,Huguenot HS,,VA,USA,,4.43,38.0,,,,,,,2001
164,20010009,1372,14800,2001,WR,73.5,211,,Koren,Robinson,Koren Robinson,WR,27607.0,2504739,NC State,73.0,205.0,1980-03-19,21.10410958904109,http://www.nfl.com/player/KorenRobinson/2504739/profile,Belmont,NC,USA,,,,,,4.61,38.5,,,123.0,,,,2001
165,20010015,943,14682,2001,WR,74.3,219,,Rod,Gardner,Rod Gardner,WR,29631.0,2504772,Clemson,74.0,219.0,1977-10-26,23.5013698630137,http://www.nfl.com/player/RodGardner/2504772/profile,Jacksonville,FL,USA,,,,,,4.48,36.0,,,,,,,2001
166,20010016,8789,14769,2001,WR,69.6,184,,Santana,Moss,Santana Moss,WR,33124.0,2504743,Miami (FL),70.0,189.0,1979-06-01,21.90410958904109,http://www.nfl.com/player/SantanaMoss/2504743/profile,Miami,FL,USA,Miami Carol City HS,Miami,FL,USA,,4.31,42.0,,,,,,,2001
168,20010025,556,14764,2001,WR,71.4,185,,Freddie,Mitchell,Freddie Mitchell,WR,90095.0,2504746,UCLA,72.0,195.0,1978-11-28,22.410958904109588,http://www.nfl.com/player/FreddieMitchell/2504746/profile,Lakeland,FL,USA,Kathleen HS,,FL,USA,,4.47,39.5,,4.06,120.0,6.95,,,2001
170,20010030,13066,14850,2001,WR,72.0,198,,Reggie,Wayne,Reggie Wayne,WR,33124.0,2504747,Miami (FL),72.0,200.0,1978-11-17,22.44109589041096,http://www.nfl.com/player/ReggieWayne/2504747/profile,New Orleans,LA,USA,John Ehret HS,Marrero,LA,USA,,4.45,36.0,,,,,,,2001
173,20010033,735,14768,2001,WR,72.9,211,,Quincy,Morgan,Quincy Morgan,WR,66506.0,2504679,Kansas State,73.0,215.0,1977-09-23,23.59178082191781,http://www.nfl.com/player/QuincyMorgan/2504679/profile,Garland,TX,USA,Garland HS,,TX,USA,,4.48,33.0,,,,,,,2001
175,20010036,8971,14725,2001,WR,73.0,192,,Chad,Johnson,Chad Johnson,WR,97331.0,2504651,Oregon State,73.0,188.0,1978-01-09,23.295890410958904,http://www.nfl.com/player/ChadJohnson/2504651/profile,Los Angeles,CA,USA,,,,,,4.58,33.0,,4.14,108.0,7.51,,,2001
177,20010041,1464,14674,2001,WR,73.0,205,,Robert,Ferguson,Robert Ferguson,WR,77843.0,2504680,Texas A&M,73.0,219.0,1979-12-17,21.35890410958904,http://www.nfl.com/player/RobertFerguson/2504680/profile,Houston,TX,USA,,,,,,4.48,36.5,,4.07,120.0,7.24,,,2001
179,20010052,5021,14647,2001,WR,71.6,210,,Chris,Chambers,Chris Chambers,WR,53706.0,2504695,Wisconsin,71.0,210.0,1978-08-12,22.70684931506849,http://www.nfl.com/player/ChrisChambers/2504695/profile,Cleveland,OH,USA,,,,,,4.33,45.0,,4.0,134.0,,,,2001
183,20010074,10455,14816,2001,WR,69.0,184,,Steve,Smith,Steve Smith,WR,84112.0,2504595,Utah,69.0,195.0,1979-05-12,21.95890410958904,http://www.nfl.com/player/SteveSmith/2504595/profile,Los Angeles,CA,USA,University HS,Los Angeles,CA,USA,,4.44,38.5,,4.25,121.0,7.44,,,2001
184,20010077,29,14761,2001,WR,73.0,171,,Snoop,Minnis,Snoop Minnis,WR,32306.0,2504546,Florida State,73.0,172.0,1977-02-06,24.21917808219178,http://www.nfl.com/player/SnoopMinnis/2504546/profile,Miami,FL,USA,Miami Northwestern HS,,FL,USA,,4.57,37.5,,4.07,115.0,7.06,,,2001
196,20010124,2542,14751,2001,WR,73.8,209,,Justin,McCareins,Justin McCareins,WR,60115.0,2504635,Northern Illinois,74.0,215.0,1978-12-01,22.4027397260274,http://www.nfl.com/player/JustinMcCareins/2504635/profile,Naperville,IL,USA,,,,,,4.46,41.0,,3.99,129.0,7.06,,,2001
198,20010131,31,14719,2001,WR,74.3,204,,Cedric,James,Cedric James,WR,76109.0,2504733,Texas Christian,73.0,197.0,1979-03-19,22.10684931506849,http://www.nfl.com/player/CedricJames/2504733/profile,Fort Worth,TX,USA,,,,,,4.49,43.0,,,134.0,,,,2001
199,20010140,25,14613,2001,WR,76.6,201,,Alex,Bannister,Alex Bannister,WR,40475.0,2504617,Eastern Kentucky,77.0,207.0,1979-04-23,22.01095890410959,http://www.nfl.com/player/AlexBannister/2504617/profile,Cincinnati,OH,USA,,,,,,4.5,30.5,,,110.0,,,,2001
203,20010148,19,14608,2001,WR,74.1,184,,Scotty,Anderson,Scotty Anderson,WR,71245.0,2504624,Grambling State (LA),74.0,191.0,1979-11-24,21.421917808219177,http://www.nfl.com/player/ScottyAnderson/2504624/profile,Jonesboro,LA,USA,,,,,,4.57,34.5,,,115.0,,,,2001
205,20010159,379,14622,2001,WR,71.4,191,,Eddie,Berlin,Eddie Berlin,WR,50701.0,2504734,Northern Iowa,71.0,195.0,1978-01-14,23.28219178082192,http://www.nfl.com/player/EddieBerlin/2504734/profile,Urbandale,IA,USA,Urbandale HS,,IA,USA,,4.44,39.5,,4.06,122.0,6.78,,,2001
206,20010162,280,14644,2001,WR,71.6,180,,Jonathan,Carter,Jonathan Carter,WR,36082.0,2504601,Troy (AL),72.0,180.0,1979-03-20,22.10410958904109,http://www.nfl.com/player/JonathanCarter/2504601/profile,Anniston,AL,USA,,,,,,4.4,42.5,,4.25,134.0,7.28,,,2001
207,20010169,2349,14863,2001,WR,69.8,179,,Cedrick,Wilson,Cedrick Wilson,WR,37998.0,2504701,Tennessee,70.0,183.0,1978-12-17,22.35890410958904,http://www.nfl.com/player/CedrickWilson/2504701/profile,Memphis,TN,USA,Melrose HS,Memphis,TN,USA,,4.46,38.0,,,123.0,,,,2001
209,20010190,181,14731,2001,WR,72.0,199,,Kevin,Kasper,Kevin Kasper,WR,52242.0,2504536,Iowa,73.0,200.0,1977-12-23,23.34246575342466,http://www.nfl.com/player/KevinKasper/2504536/profile,Hinsdale,IL,USA,,,,,,4.44,43.5,,3.73,126.0,6.56,,,2001
210,20010198,1012,14749,2001,WR,76.1,242,,David,Martin,David Martin,TE,37998.0,2504590,Tennessee,76.0,264.0,1979-03-13,22.12328767123288,http://www.nfl.com/player/DavidMartin/2504590/profile,Fort Campbell,KY,USA,,,,,,4.76,37.0,,,127.0,,,,2001
211,20010218,0,14830,2001,WR,70.9,183,,Chris,Taylor,Chris Taylor,WR,77843.0,2527071,Texas A&M,71.0,184.0,1979-04-25,22.005479452054796,http://www.nfl.com/player/ChrisTaylor/2527071/profile,,,,,,,,,4.37,35.5,,3.93,115.0,6.81,,,2001
212,20010229,111,14792,2001,WR,72.6,196,,Ken-Yon,Rambo,Ken-Yon Rambo,WR,43210.0,2504677,Ohio State,73.0,195.0,1978-10-04,22.56164383561644,http://www.nfl.com/player/Ken-YonRambo/2504677/profile,Cerritos,CA,USA,Long Beach Polytechnic HS,,CA,USA,,4.34,39.0,,,,,,,2001
213,20010236,0,14753,2001,WR,70.1,191,,Quentin,McCord,Quentin McCord,WR,40506.0,2504598,Kentucky,70.0,188.0,1978-06-26,22.83561643835617,http://www.nfl.com/player/QuentinMcCord/2504598/profile,LaGrange,GA,USA,,,,,,4.49,36.5,,4.18,112.0,7.17,,,2001
214,20010245,215,14735,2001,WR,71.9,199,,Andre,King,Andre King,WR,33124.0,2504668,Miami (FL),71.0,195.0,1973-11-26,27.41917808219178,http://www.nfl.com/player/AndreKing/2504668/profile,Kingston,,Jamaica,Stranahan HS,,FL,USA,,4.61,35.5,,,,,,,2001
218,20020020,3387,15118,2002,WR,74.8,210,,Javon,Walker,Javon Walker,WR,32306.0,2505023,Florida State,75.0,215.0,1978-10-14,23.53150684931507,http://www.nfl.com/player/JavonWalker/2505023/profile,Galveston,TX,USA,St. Thomas More HS,,LA,USA,,4.4,39.5,,4.05,124.0,6.86,,,2002
220,20020033,5370,14962,2002,WR,73.1,193,,Jabar,Gaffney,Jabar Gaffney,WR,32611.0,2505033,Florida,74.0,200.0,1980-12-01,21.3972602739726,http://www.nfl.com/player/JabarGaffney/2505033/profile,San Antonio,TX,USA,William M. Raines HS,,FL,USA,,4.56,,,4.06,,6.87,,,2002
222,20020046,1022,14914,2002,WR,71.9,190,,Tim,Carter,Tim Carter,WR,36849.0,2505044,Auburn,72.0,185.0,1979-09-21,22.594520547945205,http://www.nfl.com/player/TimCarter/2505044/profile,Atlanta,GA,USA,,,,,,4.34,39.0,,3.93,124.0,6.68,,,2002
